CATEGORY,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
MISCELLANEOUS,Shifa Int.Hospital,458.14,460.0,465.0,454.0,458.0,0.71,"34,650"
MISCELLANEOUS,Siddiqsons Tin,5.32,5.44,5.66,5.2,5.49,0.16,"2,074,333"
MISCELLANEOUS,Tri-Pack Films,120.93,122.0,124.97,122.0,124.0,3.25,"7,141"
MISCELLANEOUS,UDL Int.Ltd.,8.17,8.0,8.2,7.84,8.2,-0.09,"46,422"
MISCELLANEOUS,United Brands,25.46,27.98,28.0,24.5,26.0,0.62,"288,796"
MISCELLANEOUS,United Distributor,62.86,62.86,63.0,60.5,61.5,-1.36,"2,852"
MODARABAS,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
MODARABAS,1st.Fid.Leasing,2.00,2.0,2.0,2.0,2.0,,752
MODARABAS,B.F.Modaraba,8.73,9.09,9.65,7.73,8.0,-0.87,"164,524"
MODARABAS,Elite Cap.Mod,20.68,19.0,20.26,18.81,19.8,-1.81,"1,167"
MODARABAS,Equity Modaraba,2.85,3.45,3.85,2.52,3.45,0.6,"153,903"
MODARABAS,F.Treet Manuf,4.00,4.23,4.3,4.0,4.0,,"21,143"
MODARABAS,Habib Modaraba,21.53,21.7,21.7,21.51,21.53,-0.02,"2,961"
MODARABAS,I.B.L.Modarab,3.05,3.44,3.45,2.84,3.25,0.2,"23,001"
MODARABAS,OLP Modaraba,16.50,16.06,16.55,16.05,16.49,-0.39,"36,808"
MODARABAS,Orient Rental,8.91,9.0,9.74,9.0,9.74,0.14,227
MODARABAS,Paramount Mod,7.25,7.25,8.25,7.02,7.75,-0.13,"12,759"
MODARABAS,Popular Islamic,13.78,15.03,15.15,12.5,13.75,-1.27,"2,666"
MODARABAS,Prud Mod.1st,1.99,2.04,2.04,1.96,1.98,-0.03,"11,514"
MODARABAS,Punjab Mod,2.78,2.97,2.97,2.41,2.88,0.1,"96,720"
MODARABAS,Sindh Modaraba,11.05,11.1,11.47,10.6,11.05,,335
MODARABAS,Tri-Star 1st Mod.,13.20,13.5,13.6,12.0,13.51,0.31,"4,465"
MODARABAS,Trust Modaraba,4.98,5.08,5.35,4.84,5.29,0.22,"720,820"
MODARABAS,Unicap Modaraba,2.89,2.78,2.99,2.57,2.9,0.01,"14,658"
OIL & GAS EXPLORATION COMPANIES,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
OIL & GAS EXPLORATION COMPANIES,Mari Energies Ltd.,649.91,650.0,651.0,640.0,642.25,-8.83,"617,002"
OIL & GAS EXPLORATION COMPANIES,Oil & Gas DevXD,213.73,214.89,214.89,211.0,211.35,-2.23,"2,618,444"
OIL & GAS EXPLORATION COMPANIES,Pak Oilfields,540.31,540.0,540.31,536.5,537.51,-3.02,"78,626"
OIL & GAS EXPLORATION COMPANIES,Pak PetroleumXD,173.25,174.0,175.5,171.5,172.5,-0.86,"4,626,039"
OIL & GAS MARKETING COMPANIES,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
OIL & GAS MARKETING COMPANIES,Attock Petroleum,460.50,467.0,467.0,414.45,457.95,-5.32,"32,159"
OIL & GAS MARKETING COMPANIES,Burshane LPG,28.01,28.25,29.97,27.5,29.97,1.08,"165,300"
OIL & GAS MARKETING COMPANIES,Hascol Petrol,10.28,10.35,10.35,9.61,9.99,-0.29,"6,268,997"
OIL & GAS MARKETING COMPANIES,HI-Tech Lub.,40.12,40.25,41.75,40.0,41.17,1.21,"203,748"
OIL & GAS MARKETING COMPANIES,Oilboy Energy,9.10,9.12,9.6,9.0,9.07,-0.04,"145,463"
OIL & GAS MARKETING COMPANIES,P.S.O.,386.28,387.99,390.4,379.1,380.0,-6.33,"3,298,832"
OIL & GAS MARKETING COMPANIES,Sui North GasXD,121.51,122.0,122.1,119.5,120.5,-1.61,"3,390,036"
OIL & GAS MARKETING COMPANIES,Sui South Gas,36.98,37.01,37.25,35.4,35.81,-1.29,"14,771,771"
OIL & GAS MARKETING COMPANIES,Wafi Energy Pak,169.31,172.0,172.0,161.01,167.0,-2.11,"48,446"
"PAPER, BOARD & PACKAGING",SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
"PAPER, BOARD & PACKAGING",Century Paper,23.68,23.6,24.24,23.1,24.2,0.38,"193,620"
"PAPER, BOARD & PACKAGING",Cherat Packaging,101.01,101.0,102.0,99.5,101.9,0.75,"37,137"
"PAPER, BOARD & PACKAGING",Int. Packaging Films,21.10,21.1,21.1,20.01,21.0,-0.1,"78,188"
"PAPER, BOARD & PACKAGING",MACPAC Films,15.12,15.4,15.4,15.01,15.3,0.06,"82,659"
"PAPER, BOARD & PACKAGING",Merit Packaging,9.20,9.11,9.4,8.82,9.33,0.13,"34,353"
"PAPER, BOARD & PACKAGING",Packages Ltd.,521.03,517.0,525.99,517.0,523.99,2.23,"5,285"
"PAPER, BOARD & PACKAGING",Pak Paper Prod,142.45,142.45,147.0,140.0,143.0,-0.43,"4,424"
"PAPER, BOARD & PACKAGING",Roshan Packages,14.54,14.72,15.1,14.43,14.46,-0.02,"1,790,339"
"PAPER, BOARD & PACKAGING",Security Paper,156.24,155.61,155.8,152.01,153.5,-2.77,"19,290"
"PAPER, BOARD & PACKAGING",SPEL LimitedXD,40.42,40.49,40.54,39.52,39.99,-0.64,"603,270"
PHARMACEUTICALS,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
PHARMACEUTICALS,Abbott Lab.,953.21,954.0,996.0,948.0,970.0,26.54,"55,798"
PHARMACEUTICALS,AGP Limited,183.50,184.9,190.0,182.12,184.31,1.79,"469,818"
PHARMACEUTICALS,BF Biosciences,152.75,152.85,168.03,152.0,168.03,15.28,"2,912,058"
PHARMACEUTICALS,Citi Pharma Ltd,83.56,84.0,90.95,83.01,87.35,3.89,"8,710,899"
PHARMACEUTICALS,Ferozsons (Lab),279.42,281.96,299.9,274.0,282.49,-0.14,"423,325"
PHARMACEUTICALS,GlaxoSmithKline,371.59,374.5,390.0,372.0,378.98,7.5,"795,137"
PHARMACEUTICALS,Haleon Pakistan,731.53,737.98,759.9,726.07,730.0,2.74,"77,189"
PHARMACEUTICALS,Highnoon (Lab),917.27,915.0,939.9,901.0,921.0,3.89,"40,356"
PHARMACEUTICALS,Hoechst Pak Ltd,"3,155.10",3157.0,3348.0,3157.0,3279.0,93.9,26
PHARMACEUTICALS,IBL HealthCare,37.17,37.53,39.5,37.35,37.51,0.45,"729,062"
PHARMACEUTICALS,Liven Pharma,62.34,64.0,68.57,62.1,68.57,6.2,"941,866"
PHARMACEUTICALS,Macter Int. Ltd,339.25,339.99,371.0,339.5,368.99,26.44,"27,797"
PHARMACEUTICALS,Otsuka Pak,229.33,240.0,252.26,234.0,252.26,22.93,"144,466"
PHARMACEUTICALS,The Searle Company,84.13,84.75,89.95,84.6,86.44,2.23,"8,811,805"
POWER GENERATION & DISTRIBUTION,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
POWER GENERATION & DISTRIBUTION,Altern Energy,11.76,11.82,11.99,11.7,11.7,0.01,"310,765"
POWER GENERATION & DISTRIBUTION,Engro Powergen,27.54,27.54,27.8,27.0,27.25,-0.4,"684,482"
POWER GENERATION & DISTRIBUTION,Hub Power Co.,141.41,141.99,143.3,140.12,140.6,-0.68,"9,249,014"
POWER GENERATION & DISTRIBUTION,K-Electric Ltd.,4.45,4.5,4.55,4.37,4.4,-0.05,"19,518,214"
POWER GENERATION & DISTRIBUTION,Kohinoor Energy,16.62,16.98,17.2,16.6,16.7,0.08,"122,036"
POWER GENERATION & DISTRIBUTION,Kohinoor Power,6.33,6.1,6.18,6.0,6.0,-0.33,"3,769"
POWER GENERATION & DISTRIBUTION,Kot Addu Power,31.02,31.09,31.2,30.94,31.1,0.03,"453,054"
POWER GENERATION & DISTRIBUTION,Lalpir Power,24.00,24.49,24.49,23.65,23.9,-0.25,"128,259"
POWER GENERATION & DISTRIBUTION,Nishat ChunPowerXD,23.76,24.2,24.2,23.5,23.62,-0.18,"254,861"
POWER GENERATION & DISTRIBUTION,Nishat PowerXD,35.48,35.9,36.0,35.5,35.84,0.05,"199,199"
POWER GENERATION & DISTRIBUTION,Pakgen PowerXD,114.14,121.0,121.0,117.0,117.0,,74
POWER GENERATION & DISTRIBUTION,S.G.Power,8.65,8.65,9.0,8.25,8.3,-0.26,"65,237"
POWER GENERATION & DISTRIBUTION,Saif Power Ltd,11.73,11.7,11.8,11.4,11.65,-0.22,"192,098"
POWER GENERATION & DISTRIBUTION,Tri-Star Power,6.72,6.21,6.9,6.21,6.49,-0.26,"67,059"
PROPERTY,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
PROPERTY,B.R.R Guardia Ltd,21.51,21.85,23.2,21.3,22.45,0.89,"1,414"
PROPERTY,Hussain Industries,26.65,29.32,29.32,27.51,27.51,,"6,054"
PROPERTY,Javedan Corp.,60.76,60.0,60.99,58.12,60.49,-0.77,"97,259"
PROPERTY,Pace (Pak) Ltd.,5.33,5.27,5.45,5.27,5.36,0.03,"2,434,256"
PROPERTY,TPL Properties,8.56,8.56,9.05,8.41,9.05,0.36,"6,175,583"
REAL ESTATE INVESTMENT TRUST,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
REAL ESTATE INVESTMENT TRUST,Dolmen City,26.15,26.3,26.5,26.1,26.23,0.09,"253,379"
REAL ESTATE INVESTMENT TRUST,Globe Residency,15.65,16.65,16.7,15.66,16.14,0.49,"27,102"
REAL ESTATE INVESTMENT TRUST,TPL REIT Fund I,13.39,13.0,13.99,13.0,13.04,,613
REFINERY,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
REFINERY,Attock Refinery,623.10,625.0,635.0,606.05,608.0,-14.78,"977,732"
REFINERY,Cnergyico PK,7.85,7.94,8.08,7.65,7.68,-0.17,"32,290,577"
REFINERY,National Refinery,230.12,235.0,241.5,231.1,234.0,3.79,"2,118,482"
REFINERY,Pak Refinery,33.82,34.3,35.2,33.25,33.36,-0.39,"24,350,324"
SUGAR & ALLIED INDUSTRIES,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
SUGAR & ALLIED INDUSTRIES,Abdullah Shah,5.67,5.95,5.95,5.23,5.81,-0.15,"10,156"
SUGAR & ALLIED INDUSTRIES,Adam Sugar,53.56,54.38,55.38,54.0,55.2,1.63,"10,939"
SUGAR & ALLIED INDUSTRIES,Al-Abbas Sugar,771.69,803.99,803.99,721.0,769.0,-2.86,457
SUGAR & ALLIED INDUSTRIES,AL-Noor Sugar,75.37,81.0,82.91,75.0,80.0,6.93,"9,706"
SUGAR & ALLIED INDUSTRIES,Chashma Sugar,69.83,64.0,76.81,63.0,73.7,-1.09,"41,800"
SUGAR & ALLIED INDUSTRIES,Dewan Sugar,5.77,5.89,5.89,5.53,5.53,-0.2,"61,201"
SUGAR & ALLIED INDUSTRIES,Faran Sugar Mills,46.75,51.43,51.43,44.0,47.0,0.85,"91,655"
SUGAR & ALLIED INDUSTRIES,Habib Rice Prod,31.43,30.11,32.0,30.11,32.0,0.57,"7,887"
SUGAR & ALLIED INDUSTRIES,Habib Sugar,72.00,70.43,72.9,70.0,72.9,-0.05,"10,201"
SUGAR & ALLIED INDUSTRIES,Haseeb Waqas Sugar,9.32,9.7,9.7,9.7,9.7,,1
SUGAR & ALLIED INDUSTRIES,J.D.W.Sugar,917.01,940.0,946.0,915.0,940.0,23.48,377
SUGAR & ALLIED INDUSTRIES,Jauharabad Sug,43.30,42.51,43.0,41.8,41.81,-0.77,"11,419"
SUGAR & ALLIED INDUSTRIES,Khairpur Sugar,116.20,119.98,120.0,119.9,119.9,3.75,300
SUGAR & ALLIED INDUSTRIES,Mehran Sugar,48.40,48.4,48.5,47.75,48.35,-0.4,"3,397"
SUGAR & ALLIED INDUSTRIES,Mirpurkhas Sugar,28.74,29.39,29.39,27.3,28.85,0.11,"14,217"
SUGAR & ALLIED INDUSTRIES,Noon Sugar,80.00,83.9,83.9,72.0,78.75,-1.25,"8,020"
SUGAR & ALLIED INDUSTRIES,Sakrand Sugar,11.51,11.4,12.2,11.4,11.8,0.29,"187,356"
SUGAR & ALLIED INDUSTRIES,Sanghar Sugar,59.94,55.74,60.0,55.74,56.07,-0.89,"1,177"
SUGAR & ALLIED INDUSTRIES,Shahmurad Sugar,364.21,364.0,369.92,363.98,369.92,0.79,"11,122"
SUGAR & ALLIED INDUSTRIES,Shahtaj Sugar,125.29,113.15,125.28,113.15,125.28,,8
SUGAR & ALLIED INDUSTRIES,Shakarganj Limited,70.00,69.45,71.87,65.19,70.8,0.05,"34,781"
SUGAR & ALLIED INDUSTRIES,Tandlianwala Sugar,157.19,159.99,172.9,150.0,172.0,13.21,"3,094"
SUGAR & ALLIED INDUSTRIES,Tariq Corp Ltd.,14.66,14.75,15.88,14.75,15.5,0.88,"222,787"
SUGAR & ALLIED INDUSTRIES,Tariq Corp(Pref),8.11,7.11,8.99,7.11,7.14,,38
SUGAR & ALLIED INDUSTRIES,Thal Ind.Corp.,321.01,302.05,340.0,302.05,333.0,-0.43,118
SYNTHETIC & RAYON,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
SYNTHETIC & RAYON,Gatron Ind.,112.92,111.0,112.91,111.0,112.0,-1.46,"3,620"
SYNTHETIC & RAYON,Ibrahim Fibres,325.45,348.0,349.89,322.22,330.0,14.42,999
SYNTHETIC & RAYON,Image PakistanXD,22.10,22.6,23.49,22.09,23.19,1.01,"3,670,524"
SYNTHETIC & RAYON,National Silk,50.04,46.0,51.99,46.0,51.99,,102
SYNTHETIC & RAYON,Pak Synthetics,56.67,62.34,62.34,61.11,62.34,5.67,"47,033"
SYNTHETIC & RAYON,Rupali Polyester,16.62,17.49,18.28,16.61,18.28,1.66,"375,112"
TECHNOLOGY & COMMUNICATION,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
TECHNOLOGY & COMMUNICATION,Air Link Commun,159.45,159.7,163.0,158.35,159.99,0.51,"1,440,499"
TECHNOLOGY & COMMUNICATION,Avanceon Ltd,51.42,52.15,53.39,50.9,51.25,-0.21,"6,286,181"
TECHNOLOGY & COMMUNICATION,Hum Network,12.74,12.61,12.74,12.4,12.5,-0.18,"220,469"
TECHNOLOGY & COMMUNICATION,Media Times Ltd,1.83,1.89,1.9,1.8,1.84,0.02,"166,357"
TECHNOLOGY & COMMUNICATION,Netsol Tech.,143.07,144.8,145.85,140.0,140.29,-2.83,"1,675,275"
TECHNOLOGY & COMMUNICATION,Octopus Digital,52.09,52.89,57.29,52.89,54.0,2.01,"3,867,195"
TECHNOLOGY & COMMUNICATION,P.T.C.L.,22.06,22.61,23.58,22.6,22.7,0.66,"15,675,499"
TECHNOLOGY & COMMUNICATION,Pak Datacom,103.50,105.9,113.8,104.0,106.98,4.3,"13,552"
TECHNOLOGY & COMMUNICATION,Supernet Technologie,800.00,800.0,840.0,730.33,825.0,25.0,96
TECHNOLOGY & COMMUNICATION,Symmetry Group Ltd,15.51,15.6,15.8,15.21,15.29,-0.23,"3,651,841"
TECHNOLOGY & COMMUNICATION,Systems LimitedXD,539.80,540.1,546.0,535.1,545.99,3.99,"306,707"
TECHNOLOGY & COMMUNICATION,Telecard Limited,7.56,7.63,7.83,7.4,7.45,-0.1,"10,714,086"
TECHNOLOGY & COMMUNICATION,TPL Corp Ltd,4.48,4.49,4.7,4.45,4.57,0.06,"777,899"
TECHNOLOGY & COMMUNICATION,TPL Trakker Ltd,6.06,5.94,6.15,5.94,6.0,-0.1,"94,824"
TECHNOLOGY & COMMUNICATION,TRG Pak Ltd,65.19,65.35,65.49,63.05,63.2,-1.8,"1,989,341"
TECHNOLOGY & COMMUNICATION,WorldCall Telecom,1.28,1.29,1.3,1.25,1.25,-0.02,"16,656,452"
TECHNOLOGY & COMMUNICATION,Zarea Limited,16.11,16.11,16.19,15.75,15.91,-0.22,"940,398"
TEXTILE COMPOSITE,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
TEXTILE COMPOSITE,AN Textile Mill,11.87,13.0,13.06,12.9,13.06,1.19,"7,161"
TEXTILE COMPOSITE,Artistic Denim,39.86,40.0,40.0,38.6,39.5,-0.85,"10,366"
TEXTILE COMPOSITE,Aruj Industries,8.06,8.06,8.07,7.64,7.82,-0.37,"33,628"
TEXTILE COMPOSITE,Azgard Nine,7.68,7.83,8.05,7.7,7.82,0.22,"984,522"
TEXTILE COMPOSITE,Blessed Tex.,286.54,269.0,286.5,258.0,286.5,-17.73,175
TEXTILE COMPOSITE,Chenab Limited,6.23,6.3,6.3,5.95,6.15,-0.23,"145,069"
TEXTILE COMPOSITE,Chenab Ltd.(Pre,2.58,2.45,2.6,2.25,2.6,-0.08,"6,569"
TEXTILE COMPOSITE,Crescent Tex.,14.24,14.27,14.27,13.13,13.5,-0.63,"92,555"
TEXTILE COMPOSITE,Faisal Spinning,315.00,301.0,303.0,283.51,298.99,,53
TEXTILE COMPOSITE,Fazal Cloth,130.00,127.56,133.0,117.17,132.99,0.09,"2,111"
TEXTILE COMPOSITE,Feroze 1888,60.03,59.0,61.75,58.85,61.5,-0.06,"9,707"
TEXTILE COMPOSITE,Ghazi Fabrics,10.40,10.01,10.84,9.97,10.16,0.08,"175,691"
TEXTILE COMPOSITE,Gul Ahmed,22.76,22.98,23.5,21.91,22.21,-0.58,"1,930,402"
TEXTILE COMPOSITE,Hala Enterprise,13.26,14.48,14.56,12.5,14.4,0.54,"79,391"
TEXTILE COMPOSITE,Int.Knitwear,14.00,14.02,14.39,13.51,13.9,-0.09,"17,336"
TEXTILE COMPOSITE,Interloop Ltd.,57.34,57.49,57.79,56.98,57.0,-0.32,"174,885"
TEXTILE COMPOSITE,Jubilee Spinning,8.81,9.3,9.3,7.82,8.4,-0.53,"48,439"
TEXTILE COMPOSITE,Khyber Textile,"1,075.94",1183.53,1183.53,1183.53,1183.53,107.59,125
TEXTILE COMPOSITE,Kohinoor Ind.,10.55,10.2,11.44,10.2,11.17,0.59,"25,023"
TEXTILE COMPOSITE,Kohinoor Mills,29.17,30.99,32.09,30.99,32.09,2.35,850
TEXTILE COMPOSITE,Kohinoor Textile,165.24,165.0,168.0,156.0,164.64,-3.54,"19,576"
TEXTILE COMPOSITE,Masood Textile,53.50,57.99,58.8,50.5,57.0,,660
TEXTILE COMPOSITE,Mehmood Tex.,312.30,335.0,335.0,282.0,314.99,-2.84,"2,983"
TEXTILE COMPOSITE,Nishat (Chun.),35.66,35.7,36.06,35.2,36.0,0.34,"117,579"
TEXTILE COMPOSITE,Nishat Mills Ltd,107.79,108.0,111.05,106.8,108.49,1.25,"7,951,444"
TEXTILE COMPOSITE,Paramount Sp,3.70,3.1,3.72,3.1,3.16,-0.59,"1,013"
TEXTILE COMPOSITE,Quetta Textile,13.35,14.22,14.69,13.02,14.42,1.08,"22,609"
TEXTILE COMPOSITE,Redco Textile,25.34,24.5,26.8,24.5,26.2,-0.28,"7,237"
TEXTILE COMPOSITE,Reliance Weaving,109.95,109.0,109.0,109.0,109.0,,3
TEXTILE COMPOSITE,Sapphire Fiber,"1,069.00",1055.95,1068.0,1055.01,1067.95,,13
TEXTILE COMPOSITE,Sapphire Tex.,"1,119.10",1092.0,1149.99,1092.0,1120.0,,14
TEXTILE COMPOSITE,Shams Textile,26.73,24.2,24.3,24.2,24.3,-2.52,"2,457"
TEXTILE COMPOSITE,Stylers Int.Ltd.XD,39.49,41.48,42.0,41.48,41.5,2.01,"4,900"
TEXTILE COMPOSITE,Suraj Cotton Mills,111.00,115.0,115.0,99.9,105.0,-5.32,"17,778"
TEXTILE COMPOSITE,Towellers Limited,118.90,119.72,120.0,118.1,119.97,-0.75,"3,796"
TEXTILE COMPOSITE,ZahidJee Tex.,26.55,26.5,26.5,26.5,26.5,,200
TEXTILE SPINNING,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
TEXTILE SPINNING,Ali Asghar Textile,42.22,43.25,44.2,41.03,41.5,-0.72,"3,802"
TEXTILE SPINNING,Amtex Limited,2.70,2.8,2.8,2.59,2.69,-0.09,"99,819"
TEXTILE SPINNING,Arctic Textile,23.63,25.99,25.99,25.99,25.99,2.36,"25,527"
TEXTILE SPINNING,Asim Textile,13.00,13.2,13.2,12.31,12.31,-0.5,"5,122"
TEXTILE SPINNING,Bilal Fibres,19.49,20.56,21.44,19.48,19.5,0.19,"1,040,677"
TEXTILE SPINNING,Chakwal Spinning,46.48,47.0,47.45,45.0,45.6,-0.81,"209,367"
TEXTILE SPINNING,Colony Tex.Mills Ltd,3.55,3.77,3.77,3.4,3.48,-0.02,"57,486"
TEXTILE SPINNING,Crescent Cotton,53.46,48.11,51.75,48.11,48.2,-5.26,"3,538"
TEXTILE SPINNING,D.M.Textile Mills,38.10,38.5,38.5,34.3,37.0,-3.47,"1,028"
TEXTILE SPINNING,D.S. Ind. Ltd.,4.31,4.32,4.48,4.25,4.4,0.09,"189,596"
TEXTILE SPINNING,Dewan Farooque Sp.,2.96,3.12,3.12,2.86,3.0,0.04,"163,101"
TEXTILE SPINNING,Dewan Mushtaq,9.83,10.8,10.83,10.21,10.83,1.0,"34,150"
TEXTILE SPINNING,Dewan Textile,6.16,5.81,6.35,5.16,5.9,-0.09,"8,563"
TEXTILE SPINNING,Din Textile,48.48,52.44,52.44,43.7,45.0,-3.48,"6,426"
TEXTILE SPINNING,Elahi Cotton,125.84,113.26,137.0,113.26,125.0,-12.32,507
TEXTILE SPINNING,Ellcot Spinning,112.19,100.98,109.5,100.97,101.65,-5.87,"1,665"
TEXTILE SPINNING,Gadoon Textile,317.99,317.98,320.0,314.54,318.0,0.01,"6,795"
TEXTILE SPINNING,Gulshan Sp.,3.39,3.57,3.6,2.83,3.19,0.18,"29,885"
TEXTILE SPINNING,Hira Textile,3.07,3.19,3.19,3.01,3.06,-0.04,"417,913"
TEXTILE SPINNING,Idrees Textile,16.93,16.01,16.7,15.24,16.7,-0.39,"16,304"
TEXTILE SPINNING,Indus Dyeing,136.12,137.0,147.98,135.0,139.9,4.2,"168,912"
TEXTILE SPINNING,J.A.Textile,21.55,22.0,22.85,21.5,22.43,0.85,"7,257"
TEXTILE SPINNING,J.K.Spinning,60.95,61.0,61.0,61.0,61.0,0.05,553
TEXTILE SPINNING,Janana D Mal,51.00,50.0,54.8,50.0,52.5,-0.99,502
TEXTILE SPINNING,Khalid Siraj,7.50,8.0,8.0,7.04,7.04,,8
TEXTILE SPINNING,Kohat Textile,29.51,29.95,31.17,29.56,30.87,1.36,"1,203"
TEXTILE SPINNING,Kohinoor Spining,5.34,5.46,5.46,5.1,5.17,-0.19,"9,729,478"
TEXTILE SPINNING,Nagina Cotton,48.01,43.25,52.0,43.25,52.0,,265
TEXTILE SPINNING,Nazir Cotton Mills,13.60,12.5,14.5,12.5,14.0,,31
TEXTILE SPINNING,Reliance Cotton,443.62,443.62,478.99,430.01,447.98,,59
TEXTILE SPINNING,Ruby Textile,7.49,7.35,7.7,7.33,7.68,0.19,"3,895"
TEXTILE SPINNING,Saif Textile,9.50,9.79,9.98,9.21,9.21,-0.29,"11,301"
TEXTILE SPINNING,Sally Textile,8.25,8.03,8.5,8.03,8.5,,429
TEXTILE SPINNING,Sana Ind.,22.51,23.4,23.4,22.35,23.0,0.61,"1,603"
TEXTILE SPINNING,Saritow Spinning,13.75,13.7,13.99,13.15,13.88,-0.47,"5,525"
TEXTILE SPINNING,Service Ind Tex,13.88,15.19,15.27,14.0,15.27,1.39,"57,498"
TEXTILE SPINNING,Shadab Textile,24.00,24.24,24.25,23.5,23.5,-0.26,"5,696"
TEXTILE SPINNING,Shadman Cotton,31.90,31.9,31.9,31.9,31.9,,1
TEXTILE SPINNING,Shahzad Tex.,29.87,31.0,31.0,31.0,31.0,,20
TEXTILE SPINNING,Sunrays Textile,204.32,206.5,224.75,206.5,224.75,20.23,"166,192"
TEXTILE SPINNING,Tata Textile,42.11,41.15,42.75,40.05,41.98,,"1,757"
TEXTILE WEAVING,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
TEXTILE WEAVING,Ashfaq Textile,12.34,12.98,12.98,12.98,12.98,,392
TEXTILE WEAVING,ICC Industries,10.30,10.75,10.85,9.62,10.4,0.18,"1,966"
TEXTILE WEAVING,Prosperity Weaving,36.40,36.49,36.9,36.0,36.0,-0.34,"1,028"
TEXTILE WEAVING,Shahtaj Textile,76.11,68.9,83.53,68.9,83.53,,21
TEXTILE WEAVING,Yousuf Weaving,3.68,3.7,3.7,3.55,3.57,-0.05,"602,870"
TEXTILE WEAVING,Zephyr Textile,11.58,11.01,11.01,11.0,11.0,-0.58,"3,453"
TOBACCO,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
TOBACCO,Khyber Tobacco,375.60,376.0,386.0,367.0,372.0,-6.45,"7,648"
TOBACCO,Pak Tobacco,"1,189.58",1167.0,1299.0,1167.0,1199.99,9.6,"5,530"
TOBACCO,Philip Morris Pak.,"1,117.33",1125.0,1160.0,1082.87,1100.0,-17.52,541
TRANSPORT,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
TRANSPORT,Cordoba Logist,14.64,15.83,15.83,13.6,15.68,0.91,"12,010"
TRANSPORT,P.N.S.C,285.03,309.0,313.53,301.5,313.53,28.5,"38,707"
TRANSPORT,Pak Int.Bulk,8.85,8.95,8.95,8.66,8.72,-0.13,"4,445,685"
TRANSPORT,Pak.Int.Container,38.65,39.0,39.5,38.01,38.79,0.15,"80,498"
TRANSPORT,Secure Logistics Gro,15.81,16.0,16.4,15.85,15.9,0.15,"2,335,147"
VANASPATI & ALLIED INDUSTRIES,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
VANASPATI & ALLIED INDUSTRIES,Punjab Oil,186.82,186.82,205.5,182.0,205.5,18.68,"87,782"
VANASPATI & ALLIED INDUSTRIES,S.S.Oil,814.30,890.0,890.0,815.0,848.0,19.47,"69,632"
WOOLLEN,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
WOOLLEN,Bannu Woollen,32.84,32.22,36.12,32.05,33.05,0.3,"49,651"
MODARABAS,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
MODARABAS,Burj Clean Energy,10.00,0,0,0,0,,"1,000"
TECHNOLOGY & COMMUNICATION,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
TECHNOLOGY & COMMUNICATION,Supernet Ltd.XB,25.62,24.98,27.5,24.98,27.5,0.76,"4,500"
TRANSPORT,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
TRANSPORT,Blue-Ex,64.70,58.25,69.98,58.25,69.98,5.28,"1,052"
